REVIEW_ID|ORDER_ID|TRUCK_ID|SOURCE|PRIMARY_CITY|REVIEW_DATE|TRUCK_BRAND_NAME|SENTIMENT|REVIEW
64051|129232407|285|1|Sydney|2024-01-13|Better Off Bread|-0.3887337|Disappointment was the main course of my meal from Better Off Bread. The Pastrami sandwich lacked the promised flavor, with meat that was dry and tough. The Italian sandwich fared no better, overflowing with soggy lettuce and skimping on the salami and cheese. The bottled soda, while standard, did little to improve the overall dining experience. For a sandwich truck, Better Off Bread fell short of expectations, leaving me hungry for a better option in Sydney.
64134|129609274|278|6|Sydney|2024-01-31|Le Coin des Crêpes|-0.3903943|Disappointment was the main course at Le Coin des Crpes. The Crepe Suzette, a classic, was surprisingly lackluster, missing the expected zest and sweetness. The Chicken Pot Pie Crepe, an intriguing concept, fell flat with a bland filling and a soggy crepe exterior. The bottled soda, while standard, was overpriced for its size. Overall, the experience did not live up to the hype, leaving a taste of regret rather than satisfaction.
64226|129983836|272|2|Sydney|2024-02-18|Smoky BBQ|-0.7772101|Disappointment was the main course of my meal from Smoky BBQ in Sydney. The Spring Mix Salad was far from fresh, wilted and lacking in flavor. To add to the dissatisfaction, attempts to reach out to Customer Support were met with radio silence. Despite multiple tries, there was no response, leaving me feeling ignored and frustrated. A BBQ place should deliver smoky goodness, not a limp salad and non-existent customer service. Smoky BBQ, you've lost a customer.
87594|383595626|358|6|Berlin|2024-03-04|Peking Truck|-0.5168968|Disappointment was the flavor of the day with Peking Truck's Wonton Soup. The soup lacked the expected depth of flavor, and the wontons were far from the tender, succulent dumplings one would anticipate. To add insult to injury, attempts to reach out to Customer Support for resolution were met with radio silence, further tarnishing an already lackluster experience. It's regrettable when a meal leaves you craving more, but not in this way.
64222|129974819|281|5|Sydney|2024-02-17|Revenge of the Curds|-0.47123638|" The ""Revenge of the Curds"" truck in Sydney failed to impress with its ""Classic"" poutine. The fries were soggy, lacking the essential crispness that should complement the gravy and cheese curds. Speaking of the gravy, it was bland, almost tasteless, and the cheese curds were not sufficiently melted. The dish was a far cry from the authentic poutine experience one would expect. Overall, a disappointing meal that didn't live up to its name or the poutine standard."
87567|383468581|355|3|Berlin|2024-02-27|Not the Wurst Hot Dogs|-0.43299094|Disappointment was the main course at Not the Wurst Hot Dogs in Berlin. The Ice Tea was watered down, lacking the refreshing taste it promised. The New York Dog was drowning in sauerkraut, overpowering the taste of the hot dog itself. The Chicago Dog was a letdown with its bland toppings, and the Coney Dog was no better, with a chili that lacked any real flavor. The hot dogs were not the wurst, but they certainly weren't the best. A meal that left much to be desired.
99901|407697708|391|4|Madrid|2024-04-23|Freezing Point|-0.49294364|Disappointment was the flavor of the day with Freezing Point's Mango Sticky Rice ice cream. The ice cream lacked the promised mango flavor, and the sticky rice was more like hard pebbles. The texture was far from the creamy smoothness one expects from a quality ice cream. The presentation was lackluster, with no visual appeal. For an ice cream parlor in Madrid, I expected more. Unfortunately, Freezing Point failed to deliver on taste, texture, and presentation. I wouldn't recommend this to anyone seeking a satisfying dessert experience.
99915|407770462|400|4|Madrid|2024-04-26|Not the Wurst Hot Dogs|-0.45542654|Disappointment was the main course at Not the Wurst Hot Dogs. The New York Dog and Chicago Dog lacked the promised flavor, with toppings that were underwhelming and buns that were dry. The bottled soda was flat, adding to the overall unsatisfactory experience. This Madrid hot dog stand failed to deliver on the hype and left much to be desired.
99845|407494080|399|3|Madrid|2024-04-12|Tasty Tibs|-0.69899863|"The ""Tasty Tibs"" truck's ""Lean Beef Tibs"" offering in Madrid was an utter disappointment. The beef was tough as nails, the tibs were far from lean, and the overall flavor was bland. The service was unfriendly and the wait time was excessive. The only positive aspect was the friendly atmosphere and the reasonable price. However, given the poor food quality and service, I would not recommend this truck to anyone."
99890|407652387|402|5|Madrid|2024-04-20|Cheeky Greek|-0.77014637|"The King Combo, Gyro Plate at ""Cheeky Greek"" in Madrid was an utter disappointment. The meat was dry and overcooked, the pita was limp and greasy, and the tzatziki sauce was bland and watery. The only saving grace was the fresh lettuce and tomato, but even that couldn't mask the overall lack of flavor and quality. The service was unfriendly and the wait was excessively long. I would not recommend this establishment to anyone."
100008|408226381|400|5|Madrid|2024-05-19|Not the Wurst Hot Dogs|-0.5055251|"Unsatisfying New York Dog from ""Not the Wurst Hot Dogs"" in Madrid: The limp and overcooked hot dog was disappointing, with a cheap, wilting bun that failed to hold up against the heat. Toppings were meager and uninspiring, resulting in a bland and unappetizing overall flavor. Service was less than friendly, and wait times were prolonged. Despite the truck's whimsical name, the food and experience fell significantly short of anticipations."
